date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2000-01-03,,,,,USD,0.0,0.0
2000-01-04,47.26,48.18,46.34,47.92,USD,0.0,0.0
2000-01-05,47.83,48.03,46.63,46.72,USD,0.0,0.0
2000-01-06,46.51,47.53,45.97,46.48,USD,0.0,0.0
2000-01-07,46.23,46.89,45.29,45.43,USD,0.0,0.0
2000-01-10,45.29,46.42,45.05,46.27,USD,0.0,0.0
2000-01-11,46.34,48.39,46.27,48.33,USD,0.0,0.0
2000-01-12,48.26,49.8,47.6,49.29,USD,0.0,0.0
2000-01-13,49.29,50.86,49.14,50.06,USD,0.0,0.0
2000-01-14,50.26,52.7,49.91,52.55,USD,0.0,0.0
2000-01-17,,,,,USD,0.0,0.0
2000-01-18,52.57,54.39,52.44,54.11,USD,0.0,0.0
2000-01-19,54.02,55.67,53.55,55.4,USD,0.0,0.0
2000-01-20,54.86,56.17,54.02,55.63,USD,0.0,0.0
2000-01-21,55.39,57.88,55.09,56.09,USD,0.0,0.0
2000-01-24,56.15,57.06,54.71,55.35,USD,0.0,0.0
2000-01-25,55.25,56.78,54.39,56.24,USD,0.0,0.0
2000-01-26,56.26,57.22,55.29,55.37,USD,0.0,0.0
2000-01-27,55.25,57.08,54.08,54.34,USD,0.0,0.0
2000-01-28,54.14,54.79,53.6,54.14,USD,0.0,0.0
2000-01-31,53.9,55.49,53.1,54.97,USD,0.0,0.0
2000-02-01,54.89,56.48,54.89,56.13,USD,0.0,0.0
2000-02-02,56.13,56.98,54.59,54.79,USD,0.0,0.0
2000-02-03,54.81,56.48,54.51,55.75,USD,0.0,0.0
2000-02-04,56.03,57.44,55.19,57.32,USD,0.0,0.0
2000-02-07,57.1,57.48,56.18,56.58,USD,0.0,0.0
2000-02-08,56.56,56.66,55.49,55.73,USD,0.0,0.0
2000-02-09,55.69,57.36,55.11,57.22,USD,0.0,0.0
2000-02-10,56.88,58.67,56.88,58.53,USD,0.0,0.0
2000-02-11,58.51,59.55,57.72,58.55,USD,0.0,0.0
2000-02-14,58.55,60.26,58.37,60.16,USD,0.0,0.0
