date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2000-01-03,1.1481299999999999,1.16907,1.14327,1.16861,USD,0.0,0.0
2000-01-04,1.16793,1.17608,1.16149,1.1712200000000001,USD,0.0,0.0
2000-01-05,1.17099,1.18276,1.1695200000000001,1.17314,USD,0.0,0.0
2000-01-06,1.17269,1.1838899999999999,1.1682700000000001,1.17088,USD,0.0,0.0
2000-01-07,1.17246,1.1748399999999999,1.1659,1.16895,USD,0.0,0.0
2000-01-10,1.17076,1.17076,1.16115,1.1657799999999998,USD,0.0,0.0
2000-01-11,1.1657799999999998,1.17438,1.16477,1.17359,USD,0.0,0.0
2000-01-12,1.17416,1.1782299999999999,1.16646,1.17201,USD,0.0,0.0
2000-01-13,1.17269,1.17269,1.16307,1.16533,USD,0.0,0.0
2000-01-14,1.1652200000000001,1.16714,1.14893,1.15232,USD,0.0,0.0
2000-01-17,1.1501700000000001,1.15232,1.14418,1.1471200000000001,USD,0.0,0.0
2000-01-18,1.14972,1.15232,1.14418,1.14983,USD,0.0,0.0
2000-01-19,1.1504,1.1548100000000001,1.1457600000000001,1.14995,USD,0.0,0.0
2000-01-20,1.1504,1.15673,1.14418,1.15458,USD,0.0,0.0
2000-01-21,1.1541299999999999,1.15741,1.1411200000000001,1.14678,USD,0.0,0.0
2000-01-24,1.1403299999999998,1.14327,1.13558,1.1403299999999998,USD,0.0,0.0
2000-01-25,1.14236,1.1458700000000002,1.13478,1.13739,USD,0.0,0.0
2000-01-26,1.13716,1.14157,1.13478,1.1368200000000002,USD,0.0,0.0
2000-01-27,1.1368200000000002,1.13795,1.12019,1.1209799999999999,USD,0.0,0.0
2000-01-28,1.12166,1.12234,1.10514,1.1091,USD,0.0,0.0
2000-01-31,1.11001,1.11555,1.09722,1.10028,USD,0.0,0.0
2000-02-01,1.10152,1.1096700000000002,1.09745,1.10435,USD,0.0,0.0
2000-02-02,1.1042399999999999,1.1119299999999999,1.10005,1.10695,USD,0.0,0.0
2000-02-03,1.10752,1.12834,1.10152,1.12313,USD,0.0,0.0
2000-02-04,1.1229,1.12732,1.10605,1.11442,USD,0.0,0.0
2000-02-07,1.1151,1.1151,1.10639,1.1117,USD,0.0,0.0
2000-02-08,1.11216,1.12415,1.10989,1.1179299999999999,USD,0.0,0.0
2000-02-09,1.11838,1.13026,1.1170200000000001,1.12517,USD,0.0,0.0
2000-02-10,1.12539,1.12924,1.11476,1.11815,USD,0.0,0.0
2000-02-11,1.11917,1.11996,1.10978,1.11895,USD,0.0,0.0
2000-02-14,1.1192799999999998,1.12404,1.1083100000000001,1.11238,USD,0.0,0.0
2000-02-15,1.11103,1.1177,1.10661,1.11227,USD,0.0,0.0
2000-02-16,1.11261,1.1187200000000002,1.10955,1.11815,USD,0.0,0.0
2000-02-17,1.11827,1.1289,1.11465,1.12019,USD,0.0,0.0
2000-02-18,1.11962,1.12155,1.1117,1.11578,USD,0.0,0.0
2000-02-21,1.11612,1.12019,1.11532,1.11804,USD,0.0,0.0
2000-02-22,1.11917,1.1420299999999999,1.11532,1.13852,USD,0.0,0.0
2000-02-23,1.13671,1.14316,1.13399,1.1360299999999999,USD,0.0,0.0
2000-02-24,1.13626,1.13705,1.11996,1.12619,USD,0.0,0.0
2000-02-25,1.12483,1.12619,1.10141,1.10333,USD,0.0,0.0
2000-02-28,1.10311,1.10333,1.06803,1.1005,USD,0.0,0.0
2000-02-29,1.10028,1.11363,1.08976,1.09428,USD,0.0,0.0
2000-03-01,1.09574,1.1052899999999999,1.0906799999999999,1.1031600000000001,USD,0.0,0.0
2000-03-02,1.09911,1.1069799999999999,1.08844,1.09406,USD,0.0,0.0
2000-03-03,1.0906799999999999,1.09473,1.08641,1.08844,USD,0.0,0.0
2000-03-06,1.08304,1.09732,1.08304,1.08551,USD,0.0,0.0
2000-03-07,1.0854,1.089,1.0783200000000002,1.0832700000000002,USD,0.0,0.0
2000-03-08,1.08372,1.0899,1.07754,1.08776,USD,0.0,0.0
2000-03-09,1.08731,1.09709,1.0852899999999999,1.09484,USD,0.0,0.0
2000-03-10,1.09439,1.09608,1.08574,1.08934,USD,0.0,0.0
2000-03-13,1.08855,1.10057,1.08754,1.09102,USD,0.0,0.0
2000-03-14,1.09181,1.09507,1.08507,1.0938299999999999,USD,0.0,0.0
2000-03-15,1.09417,1.09833,1.09012,1.09473,USD,0.0,0.0
2000-03-16,1.09428,1.1013600000000001,1.09102,1.09855,USD,0.0,0.0
2000-03-17,1.09732,1.10035,1.09215,1.0999,USD,0.0,0.0
2000-03-20,1.09911,1.10181,1.0951799999999998,1.10057,USD,0.0,0.0
2000-03-21,1.10046,1.1008,1.08922,1.09057,USD,0.0,0.0
2000-03-22,1.09046,1.09057,1.0828200000000001,1.0856299999999999,USD,0.0,0.0
2000-03-23,1.08596,1.10001,1.0852899999999999,1.09866,USD,0.0,0.0
2000-03-24,1.09833,1.1046200000000002,1.09349,1.10215,USD,0.0,0.0
2000-03-27,1.10361,1.10619,1.08877,1.09125,USD,0.0,0.0
2000-03-28,1.0928200000000001,1.09619,1.08484,1.08664,USD,0.0,0.0
2000-03-29,1.08585,1.0863,1.07102,1.07439,USD,0.0,0.0
2000-03-30,1.07585,1.08731,1.07439,1.08585,USD,0.0,0.0
2000-03-31,1.08596,1.0878700000000001,1.07664,1.0796700000000001,USD,0.0,0.0
2000-04-03,1.08057,1.08484,1.07371,1.08226,USD,0.0,0.0
2000-04-04,1.0828200000000001,1.10192,1.07495,1.08855,USD,0.0,0.0
2000-04-05,1.08551,1.09675,1.08315,1.08754,USD,0.0,0.0
2000-04-06,1.08596,1.089,1.08035,1.08428,USD,0.0,0.0
2000-04-07,1.08136,1.0856299999999999,1.07686,1.07799,USD,0.0,0.0
2000-04-10,1.07787,1.08686,1.07641,1.0854,USD,0.0,0.0
2000-04-11,1.08608,1.08889,1.0796700000000001,1.0824799999999999,USD,0.0,0.0
2000-04-12,1.08259,1.08394,1.07461,1.07933,USD,0.0,0.0
2000-04-13,1.0799,1.0832700000000002,1.0738299999999998,1.07697,USD,0.0,0.0
2000-04-14,1.07664,1.0856299999999999,1.07338,1.08181,USD,0.0,0.0
2000-04-17,1.08844,1.09158,1.0756299999999999,1.07607,USD,0.0,0.0
2000-04-18,1.0756299999999999,1.0756299999999999,1.06663,1.0689899999999999,USD,0.0,0.0
2000-04-19,1.0689899999999999,1.0701200000000002,1.05585,1.06,USD,0.0,0.0
2000-04-20,1.0609,1.0627,1.05506,1.05641,USD,0.0,0.0
2000-04-24,1.05697,1.06574,1.05674,1.0596700000000001,USD,0.0,0.0
2000-04-25,1.05866,1.0606799999999998,1.0333700000000001,1.0375299999999998,USD,0.0,0.0
2000-04-26,1.03888,1.04292,1.0346,1.04157,USD,0.0,0.0
2000-04-27,1.04135,1.04663,1.02157,1.02685,USD,0.0,0.0
2000-04-28,1.0258399999999999,1.03,1.0182,1.02516,USD,0.0,0.0
2000-05-01,1.02786,1.03404,1.0228,1.03348,USD,0.0,0.0
2000-05-02,1.03393,1.03416,1.01842,1.02314,USD,0.0,0.0
2000-05-03,1.02314,1.02674,1.00168,1.00999,USD,0.0,0.0
2000-05-04,1.0094299999999998,1.01089,0.99684,1.00325,USD,0.0,0.0
2000-05-05,1.00359,1.0155,1.00201,1.01258,USD,0.0,0.0
2000-05-08,1.01112,1.01898,1.00471,1.01089,USD,0.0,0.0
2000-05-09,1.011,1.02314,1.0080799999999999,1.02168,USD,0.0,0.0
2000-05-10,1.02179,1.02854,1.01988,1.02427,USD,0.0,0.0
2000-05-11,1.02359,1.02629,1.01314,1.01348,USD,0.0,0.0
2000-05-12,1.0173,1.03629,1.0112299999999999,1.03472,USD,0.0,0.0
2000-05-15,1.03427,1.03472,1.0276399999999999,1.02797,USD,0.0,0.0
2000-05-16,1.02775,1.02775,1.01662,1.01763,USD,0.0,0.0
2000-05-17,1.01662,1.02168,1.0012299999999998,1.00819,USD,0.0,0.0
2000-05-18,1.00763,1.0102200000000001,1.00258,1.00595,USD,0.0,0.0
2000-05-19,1.00595,1.01348,0.9958299999999999,1.01224,USD,0.0,0.0
2000-05-22,1.0106700000000002,1.02157,1.00898,1.01865,USD,0.0,-1.0
2000-05-23,1.01662,1.03078,1.01516,1.01988,USD,0.0,-1.0
2000-05-24,1.02,1.02741,1.0170700000000001,1.02101,USD,0.0,-1.0
2000-05-25,1.02101,1.02696,1.0119,1.02685,USD,0.0,-1.0
2000-05-26,1.02685,1.05011,1.02595,1.0482,USD,0.0,-1.0
2000-05-29,1.0483200000000001,1.04989,1.03989,1.04292,USD,0.0,-1.0
2000-05-30,1.0437100000000001,1.05922,1.03989,1.04865,USD,0.0,-1.0
2000-05-31,1.0482,1.05393,1.04247,1.05304,USD,0.0,-1.0
2000-06-01,1.0517,1.0517,1.04443,1.04924,USD,0.0,-1.0
2000-06-02,1.04924,1.06845,1.03997,1.0596299999999998,USD,0.0,-1.0
2000-06-05,1.0622,1.06733,1.0589600000000001,1.06666,USD,0.0,-1.0
2000-06-06,1.06387,1.07951,1.06298,1.07381,USD,0.0,-1.0
2000-06-07,1.0744799999999999,1.08253,1.07281,1.0809600000000001,USD,0.0,-1.0
2000-06-08,1.08074,1.08845,1.06901,1.07538,USD,0.0,-1.0
2000-06-09,1.07538,1.0756,1.06354,1.0720299999999998,USD,0.0,-1.0
2000-06-12,1.0718,1.07437,1.06599,1.07158,USD,0.0,-1.0
2000-06-13,1.0708,1.08174,1.0700100000000001,1.07951,USD,0.0,-1.0
2000-06-14,1.0792899999999999,1.0844200000000002,1.07594,1.0792899999999999,USD,0.0,-1.0
2000-06-15,1.07828,1.07884,1.0676700000000001,1.07136,USD,0.0,-1.0
2000-06-16,1.0714700000000001,1.0849799999999998,1.06733,1.08465,USD,0.0,-1.0
2000-06-19,1.08331,1.08845,1.07582,1.0775,USD,0.0,-1.0
2000-06-20,1.07705,1.0804,1.07046,1.07605,USD,0.0,-1.0
2000-06-21,1.07571,1.07627,1.05929,1.06141,USD,0.0,-1.0
2000-06-22,1.06186,1.06387,1.04946,1.05326,USD,0.0,-1.0
2000-06-23,1.05304,1.0589600000000001,1.04879,1.05125,USD,0.0,-1.0
2000-06-26,1.05091,1.05493,1.04365,1.0533700000000001,USD,0.0,-1.0
2000-06-27,1.05192,1.06298,1.05158,1.06275,USD,0.0,-1.0
2000-06-28,1.06253,1.06275,1.0552700000000002,1.05884,USD,0.0,-1.0
2000-06-29,1.0571700000000002,1.07046,1.05516,1.06867,USD,0.0,-1.0
