date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2000-01-03,1558.26,1565.59,1519.8,1534.98,USD,0.0,0.0
2000-01-04,1535.24,1537.07,1475.06,1477.42,USD,0.0,0.0
2000-01-05,1477.16,1493.64,1449.42,1479.25,USD,0.0,0.0
2000-01-06,1476.63,1492.59,1460.67,1469.31,USD,0.0,0.0
2000-01-07,1469.05,1529.48,1462.5,1527.65,USD,0.0,0.0
2000-01-10,1527.65,1549.89,1522.94,1543.61,USD,0.0,0.0
2000-01-11,1542.3,1543.61,1514.31,1521.89,USD,0.0,0.0
2000-01-12,1521.11,1527.39,1505.67,1509.07,USD,0.0,0.0
2000-01-13,1508.55,1534.98,1508.29,1526.87,USD,0.0,0.0
2000-01-14,1529.48,1554.07,1523.2,1546.75,USD,0.0,0.0
2000-01-17,,,,,USD,0.0,0.0
2000-01-18,1546.49,1549.1,1530.0,1537.85,USD,0.0,0.0
2000-01-19,1537.07,1542.56,1517.71,1540.99,USD,0.0,0.0
2000-01-20,1541.25,1554.07,1515.35,1523.99,USD,0.0,0.0
2000-01-21,1522.94,1531.31,1516.66,1521.89,USD,0.0,0.0
2000-01-24,1521.63,1536.81,1468.52,1477.42,USD,0.0,0.0
2000-01-25,1476.63,1491.02,1462.5,1484.48,USD,0.0,0.0
2000-01-26,1483.43,1488.93,1473.75,1481.34,USD,0.0,0.0
2000-01-27,1478.2,1494.95,1452.56,1475.32,USD,0.0,0.0
2000-01-28,1476.63,1486.05,1424.57,1430.06,USD,0.0,0.0
2000-01-31,1428.75,1468.26,1420.12,1466.17,USD,0.0,0.0
2000-02-01,1468.0,1487.88,1455.96,1482.65,USD,0.0,0.0
2000-02-02,1482.65,1495.99,1475.59,1481.34,USD,0.0,0.0
2000-02-03,1481.6,1505.15,1470.61,1503.32,USD,0.0,0.0
2000-02-04,1503.32,1516.92,1492.85,1498.09,USD,0.0,0.0
2000-02-07,1495.99,1499.92,1485.0,1493.64,USD,0.0,0.0
2000-02-08,1493.64,1516.92,1491.81,1513.52,USD,0.0,0.0
2000-02-09,1515.35,1522.42,1482.91,1484.22,USD,0.0,0.0
2000-02-10,1484.74,1495.73,1477.94,1485.27,USD,0.0,0.0
2000-02-11,1484.48,1492.85,1448.64,1461.72,USD,0.0,0.0
2000-02-14,1461.2,1468.78,1451.25,1463.81,USD,0.0,0.0
2000-02-15,1464.07,1480.56,1445.24,1475.59,USD,0.0,0.0
2000-02-16,1475.59,1479.25,1454.92,1457.53,USD,0.0,0.0
2000-02-17,1457.53,1472.45,1448.64,1449.95,USD,0.0,0.0
