date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2000-01-03,,,,,USD,0.0,0.0
2000-01-04,454.96,454.96,440.03,445.85,USD,0.0,0.0
2000-01-05,445.85,447.89,441.61,443.33,USD,0.0,0.0
2000-01-06,442.55,444.44,440.35,443.81,USD,0.0,0.0
2000-01-07,443.96,447.11,443.18,444.59,USD,0.0,0.0
2000-01-10,444.12,446.16,442.86,444.28,USD,0.0,0.0
2000-01-11,443.81,448.36,443.02,446.95,USD,0.0,0.0
2000-01-12,447.11,447.89,443.96,445.85,USD,0.0,0.0
2000-01-13,445.54,449.31,444.59,448.05,USD,0.0,0.0
2000-01-14,448.21,448.84,446.32,447.74,USD,0.0,0.0
2000-01-17,,,,,USD,0.0,0.0
2000-01-18,449.62,455.44,449.31,455.12,USD,0.0,0.0
2000-01-19,455.12,457.32,451.82,456.22,USD,0.0,0.0
2000-01-20,456.22,456.85,453.24,454.65,USD,0.0,0.0
2000-01-21,454.18,456.22,451.66,455.28,USD,0.0,0.0
2000-01-24,455.28,455.28,449.94,452.76,USD,0.0,0.0
2000-01-25,452.61,458.58,450.41,450.41,USD,0.0,0.0
2000-01-26,450.72,451.82,447.42,450.25,USD,0.0,0.0
2000-01-27,449.78,451.82,448.84,451.19,USD,0.0,0.0
2000-01-28,451.19,452.29,440.82,444.75,USD,0.0,0.0
2000-01-31,444.75,447.11,443.33,445.06,USD,0.0,0.0
2000-02-01,444.75,445.53,443.2,443.82,USD,0.0,0.0
2000-02-02,443.82,449.73,443.66,447.4,USD,0.0,0.0
2000-02-03,447.4,452.37,446.31,450.82,USD,0.0,0.0
2000-02-04,451.28,495.29,450.82,486.74,USD,0.0,0.0
2000-02-07,494.52,508.36,469.63,473.52,USD,0.0,0.0
2000-02-08,475.85,478.96,464.19,469.17,USD,0.0,0.0
2000-02-09,469.17,488.29,469.17,479.9,USD,0.0,0.0
2000-02-10,479.74,496.07,479.74,495.6,USD,0.0,0.0
2000-02-11,494.98,498.25,483.63,487.67,USD,0.0,0.0
2000-02-14,487.67,487.67,479.43,483.63,USD,0.0,0.0
2000-02-15,483.16,484.41,472.43,472.9,USD,0.0,0.0
2000-02-16,473.06,475.85,466.06,474.3,USD,0.0,0.0
2000-02-17,474.77,485.96,466.52,472.43,USD,0.0,0.0
2000-02-18,471.66,478.65,469.63,477.88,USD,0.0,0.0
2000-02-21,,,,,USD,0.0,0.0
2000-02-22,478.34,481.14,473.06,478.5,USD,0.0,0.0
2000-02-23,478.5,479.28,470.1,470.26,USD,0.0,0.0
