date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2000-01-03,150.187,151.386,150.156,151.234,USD,0.0,0.0
2000-01-04,151.143,151.295,148.532,148.608,USD,0.0,0.0
2000-01-05,148.623,149.23,146.954,146.969,USD,0.0,0.0
2000-01-06,147.045,147.455,145.19299999999998,145.375,USD,0.0,0.0
2000-01-07,145.481,146.195,144.72299999999998,145.648,USD,0.0,0.0
2000-01-10,145.8,146.908,145.436,145.8,USD,0.0,0.0
2000-01-11,145.709,146.347,144.161,144.72299999999998,USD,0.0,0.0
2000-01-12,144.54,145.19299999999998,144.313,144.692,USD,0.0,0.0
2000-01-13,144.798,145.254,144.14600000000002,144.298,USD,0.0,0.0
2000-01-14,144.282,145.33,143.903,144.905,USD,0.0,0.0
2000-01-17,144.798,146.316,144.72299999999998,146.134,USD,0.0,0.0
2000-01-18,145.997,146.316,144.72299999999998,144.92,USD,0.0,0.0
2000-01-19,144.859,145.618,144.282,145.36,USD,0.0,0.0
2000-01-20,145.299,145.497,144.72299999999998,145.36,USD,0.0,0.0
2000-01-21,145.314,146.498,144.996,146.013,USD,0.0,0.0
2000-01-24,145.421,146.119,144.495,144.859,USD,0.0,0.0
2000-01-25,144.95,144.95,144.20600000000002,144.44899999999998,USD,0.0,0.0
2000-01-26,144.389,144.905,143.964,144.64700000000002,USD,0.0,0.0
2000-01-27,144.64700000000002,146.089,144.41899999999998,145.63299999999998,USD,0.0,0.0
2000-01-28,145.572,146.164,142.446,142.749,USD,0.0,0.0
2000-01-31,142.96200000000002,143.311,142.066,142.188,USD,0.0,0.0
2000-02-01,142.279,142.582,141.535,141.687,USD,0.0,0.0
2000-02-02,141.748,141.839,140.093,141.141,USD,0.0,0.0
2000-02-03,141.141,142.59799999999998,140.351,141.748,USD,0.0,0.0
2000-02-04,141.748,142.507,141.247,142.29399999999998,USD,0.0,0.0
2000-02-07,142.29399999999998,142.4,140.19899999999998,140.291,USD,0.0,0.0
2000-02-08,140.624,140.624,139.076,139.547,USD,0.0,0.0
2000-02-09,139.38,140.458,139.046,139.759,USD,0.0,0.0
2000-02-10,139.866,140.822,139.72899999999998,140.017,USD,0.0,0.0
2000-02-11,139.866,140.139,138.879,140.063,USD,0.0,0.0
2000-02-14,140.017,141.08,139.835,140.139,USD,0.0,0.0
2000-02-15,140.048,140.533,139.365,139.69899999999998,USD,0.0,0.0
2000-02-16,139.72899999999998,139.941,138.97,139.304,USD,0.0,0.0
2000-02-17,139.289,139.38,137.60399999999998,137.756,USD,0.0,0.0
2000-02-18,137.695,138.09,136.875,137.27,USD,0.0,0.0
2000-02-21,137.589,137.938,136.678,136.936,USD,0.0,0.0
2000-02-22,136.724,137.938,136.268,137.528,USD,0.0,0.0
2000-02-23,137.376,138.257,136.709,136.769,USD,0.0,0.0
2000-02-24,136.845,137.619,136.466,137.02700000000002,USD,0.0,0.0
2000-02-25,136.906,138.15,136.466,138.12,USD,0.0,0.0
2000-02-28,137.968,140.39700000000002,137.77100000000002,139.22799999999998,USD,0.0,0.0
2000-02-29,139.061,139.076,137.817,138.12,USD,0.0,0.0
2000-03-01,137.986,142.839,137.986,142.018,USD,0.0,0.0
2000-03-02,142.018,142.54,140.85299999999998,141.15200000000002,USD,0.0,0.0
2000-03-03,141.27100000000002,141.376,140.704,140.91299999999998,USD,0.0,0.0
2000-03-06,140.91299999999998,142.316,140.82299999999998,141.286,USD,0.0,0.0
2000-03-07,141.391,143.66,140.733,143.183,USD,0.0,0.0
2000-03-08,143.153,143.362,141.391,141.928,USD,0.0,0.0
2000-03-09,141.898,143.018,141.555,142.511,USD,0.0,0.0
2000-03-10,142.436,143.123,142.257,142.97299999999998,USD,0.0,0.0
2000-03-13,142.79399999999998,144.825,142.227,143.75,USD,0.0,0.0
2000-03-14,143.795,145.079,143.153,144.452,USD,0.0,0.0
2000-03-15,144.452,144.825,142.555,143.72,USD,0.0,0.0
2000-03-16,143.72,144.22799999999998,143.21200000000002,143.66,USD,0.0,0.0
2000-03-17,143.616,143.929,142.018,142.107,USD,0.0,0.0
2000-03-20,141.868,142.69,141.525,142.63,USD,0.0,0.0
2000-03-21,142.555,142.66,141.376,141.615,USD,0.0,0.0
2000-03-22,141.615,142.30100000000002,141.435,141.764,USD,0.0,0.0
2000-03-23,141.749,141.749,140.524,141.077,USD,0.0,0.0
2000-03-24,140.957,142.003,140.704,141.57,USD,0.0,0.0
2000-03-27,141.868,142.122,141.346,141.898,USD,0.0,0.0
2000-03-28,141.868,143.332,141.85299999999998,143.048,USD,0.0,0.0
2000-03-29,142.914,144.243,142.33100000000002,143.407,USD,0.0,0.0
2000-03-30,143.123,144.347,142.914,143.451,USD,0.0,0.0
2000-03-31,142.899,148.379,142.615,147.961,USD,0.0,0.0
2000-04-03,146.363,147.17,142.884,144.303,USD,0.0,0.0
2000-04-04,144.392,145.363,143.018,144.273,USD,0.0,0.0
2000-04-05,143.675,144.377,143.287,144.168,USD,0.0,0.0
2000-04-06,144.123,144.482,143.795,144.28799999999998,USD,0.0,0.0
2000-04-07,144.243,144.422,143.21200000000002,143.347,USD,0.0,0.0
2000-04-10,143.30200000000002,143.496,141.465,141.928,USD,0.0,0.0
2000-04-11,142.018,142.092,140.972,141.062,USD,0.0,0.0
2000-04-12,141.167,143.631,141.122,142.705,USD,0.0,0.0
2000-04-13,142.82399999999998,143.018,142.24200000000002,142.705,USD,0.0,0.0
2000-04-14,142.69,144.108,142.167,143.914,USD,0.0,0.0
2000-04-17,144.467,146.22899999999998,143.093,144.736,USD,0.0,0.0
2000-04-18,144.64600000000002,145.019,143.75,144.079,USD,0.0,0.0
2000-04-19,144.034,144.78,143.616,143.974,USD,0.0,0.0
2000-04-20,144.049,144.332,142.884,143.078,USD,0.0,0.0
2000-04-24,142.466,143.466,142.197,142.57,USD,0.0,0.0
2000-04-25,142.585,143.227,142.167,142.466,USD,0.0,0.0
2000-04-26,142.421,142.82399999999998,141.122,141.82399999999998,USD,0.0,0.0
2000-04-27,141.779,142.316,141.241,141.644,USD,0.0,0.0
2000-04-28,141.555,141.659,139.106,139.15,USD,0.0,0.0
2000-05-01,139.539,139.778,137.911,138.21,USD,0.0,0.0
2000-05-02,138.299,139.031,138.12,138.658,USD,0.0,0.0
2000-05-03,138.717,138.86700000000002,137.403,137.762,USD,0.0,0.0
2000-05-04,137.881,139.778,137.254,139.195,USD,0.0,0.0
2000-05-05,139.031,140.285,138.434,138.688,USD,0.0,0.0
2000-05-08,138.47799999999998,138.882,137.792,138.06,USD,0.0,0.0
2000-05-09,138.001,138.50799999999998,137.164,137.418,USD,0.0,0.0
2000-05-10,137.463,138.464,137.269,137.403,USD,0.0,0.0
2000-05-11,137.463,139.33,136.627,138.464,USD,0.0,0.0
2000-05-12,138.50799999999998,139.628,137.762,138.613,USD,0.0,0.0
2000-05-15,138.404,138.404,137.09,137.179,USD,0.0,0.0
2000-05-16,137.224,138.15,136.686,137.329,USD,0.0,0.0
2000-05-17,137.329,137.762,136.52200000000002,137.329,USD,0.0,0.0
2000-05-18,137.269,138.493,137.134,138.06,USD,0.0,0.0
2000-05-19,138.15,141.196,137.941,140.569,USD,0.0,0.0
2000-05-22,140.166,140.584,139.673,140.211,USD,0.0,-1.0
2000-05-23,140.106,141.047,139.882,140.763,USD,0.0,-1.0
2000-05-24,140.763,141.002,138.986,139.15,USD,0.0,-1.0
2000-05-25,139.255,139.763,138.80700000000002,139.494,USD,0.0,-1.0
2000-05-26,139.688,140.674,139.031,140.166,USD,0.0,-1.0
2000-05-29,140.106,140.45,139.569,139.957,USD,0.0,-1.0
2000-05-30,140.151,141.346,139.569,140.659,USD,0.0,-1.0
2000-05-31,140.689,141.092,138.80700000000002,139.106,USD,0.0,-1.0
2000-06-01,138.753,138.797,137.43200000000002,137.961,USD,0.0,-1.0
2000-06-02,137.99,139.003,137.55,138.196,USD,0.0,-1.0
2000-06-05,138.548,139.487,138.504,138.959,USD,0.0,-1.0
2000-06-06,139.458,142.174,139.458,141.631,USD,0.0,-1.0
2000-06-07,141.631,142.438,140.89700000000002,141.792,USD,0.0,-1.0
2000-06-08,141.80700000000002,141.821,140.809,140.85299999999998,USD,0.0,-1.0
2000-06-09,140.85299999999998,141.22,139.678,139.91299999999998,USD,0.0,-1.0
2000-06-12,139.84,140.53,139.311,140.016,USD,0.0,-1.0
2000-06-13,139.91299999999998,140.72,139.678,139.781,USD,0.0,-1.0
2000-06-14,139.752,140.559,139.47299999999998,140.001,USD,0.0,-1.0
2000-06-15,140.075,140.809,139.869,140.06,USD,0.0,-1.0
2000-06-16,140.06,140.79399999999998,140.06,140.559,USD,0.0,-1.0
2000-06-19,140.32399999999998,141.366,140.13299999999998,141.161,USD,0.0,-1.0
2000-06-20,141.102,141.851,140.809,141.543,USD,0.0,-1.0
2000-06-21,141.572,141.80700000000002,141.161,141.352,USD,0.0,-1.0
2000-06-22,141.264,143.275,141.102,142.834,USD,0.0,-1.0
2000-06-23,142.776,143.48,142.13,142.423,USD,0.0,-1.0
2000-06-26,142.497,142.981,140.92600000000002,140.999,USD,0.0,-1.0
2000-06-27,141.043,141.601,140.691,141.58700000000002,USD,0.0,-1.0
2000-06-28,141.55700000000002,141.55700000000002,140.85299999999998,141.17600000000002,USD,0.0,-1.0
