date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2000-01-03,4862.72,5050.74,4773.24,4985.26,USD,0.0,0.0
2000-01-04,4977.48,4982.67,4570.95,4613.1,USD,0.0,0.0
2000-01-05,4613.1,4691.55,4402.38,4554.75,USD,0.0,0.0
2000-01-06,4529.46,4607.26,4256.5,4295.4,USD,0.0,0.0
2000-01-07,4259.09,4635.14,4223.43,4618.93,USD,0.0,0.0
2000-01-10,4617.64,4933.39,4609.21,4888.65,USD,0.0,0.0
2000-01-11,4882.17,4883.47,4593.0,4635.79,USD,0.0,0.0
2000-01-12,4637.09,4687.66,4507.42,4543.08,USD,0.0,0.0
2000-01-13,4548.91,4734.34,4541.13,4725.27,USD,0.0,0.0
2000-01-14,4746.01,4908.1,4726.56,4864.66,USD,0.0,0.0
2000-01-17,4853.64,4891.25,4847.81,4876.98,USD,0.0,0.0
2000-01-18,4875.69,4952.84,4758.33,4936.63,USD,0.0,0.0
2000-01-19,4928.2,4993.04,4851.05,4992.39,USD,0.0,0.0
2000-01-20,4988.5,5074.08,4941.82,5031.29,USD,0.0,0.0
2000-01-21,5018.32,5075.38,4958.68,5048.15,USD,0.0,0.0
2000-01-24,5046.2,5106.5,4766.11,4776.49,USD,0.0,0.0
2000-01-25,4765.46,4923.66,4676.64,4916.53,USD,0.0,0.0
2000-01-26,4895.14,4911.35,4716.84,4738.88,USD,0.0,0.0
2000-01-27,4705.17,4841.97,4572.25,4714.89,USD,0.0,0.0
2000-01-28,4720.73,4778.43,4420.53,4506.12,USD,0.0,0.0
2000-01-31,4489.26,4694.14,4371.26,4684.42,USD,0.0,0.0
2000-02-01,4676.64,4843.27,4621.53,4828.35,USD,0.0,0.0
2000-02-02,4823.17,4948.3,4787.51,4841.97,USD,0.0,0.0
2000-02-03,4841.97,5046.85,4814.74,5047.5,USD,0.0,0.0
2000-02-04,5041.67,5135.03,5006.65,5065.66,USD,0.0,0.0
2000-02-07,5065.66,5133.09,5025.46,5131.14,USD,0.0,0.0
2000-02-08,5114.93,5314.63,5111.69,5310.09,USD,0.0,0.0
2000-02-09,5316.57,5373.63,5156.43,5156.43,USD,0.0,0.0
2000-02-10,5149.29,5337.32,5145.4,5332.13,USD,0.0,0.0
2000-02-11,5328.24,5368.44,5122.06,5177.17,USD,0.0,0.0
2000-02-14,5165.5,5223.21,5101.32,5191.44,USD,0.0,0.0
