date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2000-01-03,70.42,70.55,69.95,70.09,EUR,0.0,0.0
2000-01-04,69.87,70.11,69.52,69.98,EUR,0.0,0.0
2000-01-05,70.08,70.21,69.71,69.8,EUR,0.0,0.0
2000-01-06,69.87,69.94,69.6,69.71,EUR,0.0,0.0
2000-01-07,69.87,70.35,69.75,70.27,EUR,0.0,0.0
2000-01-10,70.34,70.53,70.21,70.32,EUR,0.0,0.0
2000-01-11,70.34,70.36,69.64,69.71,EUR,0.0,0.0
2000-01-12,69.73,69.79,69.37,69.74,EUR,0.0,0.0
2000-01-13,69.64,69.98,69.52,69.82,EUR,0.0,0.0
2000-01-14,69.96,70.19,69.55,69.64,EUR,0.0,0.0
2000-01-17,69.63,69.77,69.48,69.65,EUR,0.0,0.0
2000-01-18,69.62,69.69,69.17,69.24,EUR,0.0,0.0
2000-01-19,69.23,69.53,69.09,69.48,EUR,0.0,0.0
2000-01-20,69.47,69.77,69.14,69.73,EUR,0.0,0.0
2000-01-21,69.56,69.81,69.37,69.56,EUR,0.0,0.0
2000-01-24,69.59,69.79,69.45,69.7,EUR,0.0,0.0
2000-01-25,69.87,70.04,69.79,69.93,EUR,0.0,0.0
2000-01-26,69.82,70.13,69.73,69.84,EUR,0.0,0.0
2000-01-27,69.9,69.98,69.35,69.48,EUR,0.0,0.0
2000-01-28,69.51,69.83,69.18,69.79,EUR,0.0,0.0
2000-01-31,69.6,69.97,69.49,69.9,EUR,0.0,0.0
2000-02-01,69.77,70.39,69.73,70.33,EUR,0.0,0.0
2000-02-02,70.31,70.47,70.14,70.32,EUR,0.0,0.0
2000-02-03,70.38,70.96,69.92,70.72,EUR,0.0,0.0
2000-02-04,70.65,70.89,70.05,70.13,EUR,0.0,0.0
2000-02-07,70.03,70.15,69.85,69.95,EUR,0.0,0.0
2000-02-08,69.86,70.37,69.86,70.25,EUR,0.0,0.0
2000-02-09,70.25,70.34,70.02,70.15,EUR,0.0,0.0
2000-02-10,69.91,70.1,69.66,69.77,EUR,0.0,0.0
2000-02-11,69.59,69.83,69.56,69.74,EUR,0.0,0.0
2000-02-14,69.72,70.11,69.61,70.08,EUR,0.0,0.0
2000-02-15,70.1,70.1,69.76,69.9,EUR,0.0,0.0
2000-02-16,69.98,69.98,69.65,69.78,EUR,0.0,0.0
2000-02-17,69.85,70.06,69.62,69.81,EUR,0.0,0.0
2000-02-18,69.74,70.18,69.66,70.0,EUR,0.0,0.0
2000-02-21,70.1,70.26,70.06,70.19,EUR,0.0,0.0
2000-02-22,70.25,70.82,70.25,70.68,EUR,0.0,0.0
2000-02-23,70.65,70.71,70.46,70.53,EUR,0.0,0.0
2000-02-24,70.53,70.92,70.39,70.83,EUR,0.0,0.0
2000-02-25,70.79,70.91,70.32,70.34,EUR,0.0,0.0
2000-02-28,70.21,70.51,70.09,70.34,EUR,0.0,0.0
2000-02-29,70.28,70.44,70.21,70.36,EUR,0.0,0.0
2000-03-01,70.43,70.55,70.34,70.42,EUR,0.0,0.0
2000-03-02,70.42,70.42,70.14,70.34,EUR,0.0,0.0
2000-03-03,70.36,70.66,70.26,70.52,EUR,0.0,0.0
2000-03-06,70.47,70.7,70.4,70.61,EUR,0.0,0.0
2000-03-07,70.66,70.9,70.6,70.63,EUR,0.0,0.0
2000-03-08,70.74,70.84,70.52,70.62,EUR,0.0,0.0
2000-03-09,70.58,71.33,70.58,71.31,EUR,0.0,0.0
2000-03-10,71.22,71.37,71.04,71.09,EUR,0.0,0.0
2000-03-13,71.16,71.59,71.16,71.25,EUR,0.0,0.0
2000-03-14,71.2,71.33,71.09,71.24,EUR,0.0,0.0
2000-03-15,71.34,71.5,71.21,71.41,EUR,0.0,0.0
2000-03-16,71.35,71.78,71.26,71.63,EUR,0.0,0.0
2000-03-17,71.61,71.97,71.6,71.91,EUR,0.0,0.0
2000-03-20,71.91,71.98,71.71,71.86,EUR,0.0,0.0
2000-03-21,71.83,72.07,71.83,71.89,EUR,0.0,0.0
2000-03-22,71.85,71.98,71.74,71.85,EUR,0.0,0.0
2000-03-23,71.89,72.26,71.82,72.2,EUR,0.0,0.0
2000-03-24,72.09,72.13,71.82,71.89,EUR,0.0,0.0
2000-03-27,71.79,71.8,71.46,71.52,EUR,0.0,0.0
2000-03-28,71.63,71.81,71.59,71.77,EUR,0.0,0.0
