date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2000-01-03,56.875,56.875,56.28125,56.3125,USD,0.0,0.0
2000-01-04,56.3125,56.84375,56.0,56.78125,USD,0.0,0.0
2000-01-05,56.8125,56.96875,56.125,56.1875,USD,0.0,0.0
2000-01-06,56.1875,56.6875,56.15625,56.65625,USD,0.0,0.0
2000-01-07,56.71875,57.03125,56.25,56.96875,USD,0.0,0.0
2000-01-10,56.96875,56.96875,56.625,56.75,USD,0.0,0.0
2000-01-11,56.75,56.8125,56.0625,56.15625,USD,0.0,0.0
2000-01-12,56.15625,56.375,55.9375,56.03125,USD,0.0,0.0
2000-01-13,56.03125,56.59375,55.96875,56.5625,USD,0.0,0.0
2000-01-14,56.59375,56.875,56.09375,56.25,USD,0.0,0.0
2000-01-17,,,,,USD,0.0,0.0
2000-01-18,56.1875,56.3125,55.78125,55.90625,USD,0.0,0.0
2000-01-19,55.90625,56.1875,55.84375,56.09375,USD,0.0,0.0
2000-01-20,56.125,56.5,55.78125,56.03125,USD,0.0,0.0
2000-01-21,56.03125,56.3125,55.875,56.21875,USD,0.0,0.0
2000-01-24,56.25,56.625,56.15625,56.625,USD,0.0,0.0
2000-01-25,56.625,57.03125,56.5,56.78125,USD,0.0,0.0
2000-01-26,56.78125,57.21875,56.71875,57.1875,USD,0.0,0.0
2000-01-27,57.1875,57.6875,57.09375,57.625,USD,0.0,0.0
2000-01-28,57.625,58.59375,56.96875,58.21875,USD,0.0,0.0
2000-01-31,58.21875,58.3125,57.75,57.78125,USD,0.0,0.0
2000-02-01,57.8125,58.28125,57.71875,58.1875,USD,0.0,0.0
2000-02-02,58.1875,58.8125,58.03125,58.5625,USD,0.0,0.0
2000-02-03,58.5625,59.75,58.5625,59.1875,USD,0.0,0.0
2000-02-04,59.1875,59.4375,58.625,58.96875,USD,0.0,0.0
2000-02-07,58.875,58.875,58.40625,58.5,USD,0.0,0.0
2000-02-08,58.46875,59.3125,58.4375,59.25,USD,0.0,0.0
2000-02-09,59.25,59.53125,58.46875,58.65625,USD,0.0,0.0
2000-02-10,58.65625,58.96875,58.09375,58.15625,USD,0.0,0.0
2000-02-11,58.1875,58.6875,58.09375,58.46875,USD,0.0,0.0
2000-02-14,58.4375,59.0,58.4375,58.96875,USD,0.0,0.0
2000-02-15,59.03125,59.03125,58.59375,58.75,USD,0.0,0.0
2000-02-16,58.75,58.78125,58.46875,58.71875,USD,0.0,0.0
2000-02-17,58.71875,59.21875,58.59375,59.0,USD,0.0,0.0
2000-02-18,59.03125,59.5,58.96875,59.4375,USD,0.0,0.0
2000-02-21,,,,,USD,0.0,0.0
2000-02-22,59.46875,60.125,59.46875,60.0625,USD,0.0,0.0
2000-02-23,60.03125,60.03125,59.625,59.65625,USD,0.0,0.0
2000-02-24,59.65625,60.21875,59.65625,59.84375,USD,0.0,0.0
2000-02-25,59.78125,59.90625,59.375,59.46875,USD,0.0,0.0
2000-02-28,59.625,59.6875,58.96875,59.15625,USD,0.0,0.0
2000-02-29,59.1875,59.625,59.125,59.5625,USD,0.0,0.0
2000-03-01,59.5625,59.78125,59.34375,59.4375,USD,0.0,0.0
2000-03-02,59.4375,59.8125,59.21875,59.65625,USD,0.0,0.0
2000-03-03,59.65625,60.03125,59.53125,59.90625,USD,0.0,0.0
2000-03-06,59.84375,59.96875,59.59375,59.65625,USD,0.0,0.0
2000-03-07,59.65625,59.90625,59.40625,59.625,USD,0.0,0.0
2000-03-08,59.625,59.75,59.46875,59.5,USD,0.0,0.0
2000-03-09,59.5,59.96875,59.5,59.5625,USD,0.0,0.0
2000-03-10,59.5625,59.65625,59.1875,59.28125,USD,0.0,0.0
2000-03-13,59.34375,59.875,59.21875,59.34375,USD,0.0,0.0
2000-03-14,59.40625,59.84375,59.03125,59.78125,USD,0.0,0.0
2000-03-15,59.875,60.25,59.59375,60.0625,USD,0.0,0.0
2000-03-16,60.09375,60.4375,59.96875,60.25,USD,0.0,0.0
2000-03-17,60.25,60.625,60.21875,60.53125,USD,0.0,0.0
2000-03-20,60.5625,60.71875,60.375,60.625,USD,0.0,0.0
